Bacon,0,2.0,242,191,21.2,7.6,0.0,45.4,604.8,0.0,0.0,0.0,15.1
Cage Free Eggs Cooked to Order,0,1.0,70,41,4.5,1.5,0.0,215.0,65.0,1.0,0.0,0.0,6.0
Cage-Free Egg Whites Cooked to Order,0,4.0,57,0,0.0,0.0,0.0,0.0,192.8,1.1,0.0,0.0,12.5
French Toast,0,1.0,183,40,4.4,1.3,0.0,100.3,248.9,24.6,0.7,6.3,7.5
Hard Cooked Eggs - Cage Free,0,1.0,70,41,4.5,1.5,0.0,215.0,65.0,1.0,0.0,0.0,6.0
Scrambled Cage Free Eggs,0,4.0,180,113,12.5,3.5,0.0,476.3,158.8,1.1,0.0,1.1,14.7
Assorted Mini Danish,0,1.0,140,63,7.0,2.5,0.0,5.0,110.0,17.0,0.0,8.0,2.0
Cranberry Orange Muffin,0,1.0,249,119,13.2,1.9,0.0,50.6,186.9,29.6,0.4,16.4,3.1
Peach Melba Tea Bread,0,1.0,194,78,8.7,1.9,0.3,33.7,124.8,27.5,0.0,15.0,1.9
Pancake Syrup,0,1.0,96,0,0.0,0.0,0.0,0.0,33.6,25.2,0.0,8.8,0.0
Shredded Hashbrowns,0,4.0,107,5,0.6,0.1,0.0,0.1,147.8,23.1,2.5,0.2,2.3
Blueberries,0,1.0,16,0,0.0,0.0,0.0,0.0,0.0,3.6,0.8,2.6,0.0
Pancake Syrup,0,1.0,96,0,0.0,0.0,0.0,0.0,33.6,25.2,0.0,8.8,0.0
Steel Cut Oatmeal,0,6.0,122,21,2.3,0.0,0.0,0.0,0.0,20.7,6.1,0.0,4.6
Strawberry Sauce,0,1.0,29,0,0.0,0.0,0.0,0.0,0.9,8.0,0.6,7.4,0.2
Whipped Topping,0,1.0,49,47,5.2,3.3,0.2,19.4,5.4,0.4,0.0,0.0,0.3
Apricots,0,1.0,14,0,0.0,0.0,0.0,0.0,8.0,3.2,0.0,2.1,0.0
Banana Chips,0,1.0,142,68,7.6,6.6,0.0,0.0,0.0,18.9,0.0,5.7,0.9
Chocolate Sunflower Seed Butter,0,1.0,163,108,12.0,2.1,0.0,0.0,8.6,11.2,2.6,6.0,4.3
Grape Preserves,0,1.0,71,0,0.0,0.0,0.0,0.0,7.1,18.4,0.0,14.2,0.0
Low Fat Strawberry Yogurt,0,1.0,30,2,0.3,0.2,0.0,1.3,16.4,6.2,0.0,5.2,0.9
Plain Nonfat Greek Yogurt,0,1.0,16,0,0.0,0.0,0.0,1.2,11.9,1.2,0.1,0.9,2.9
Pumpkin Seed Butter,0,1.0,137,62,6.9,1.3,0.0,0.0,12.9,15.5,4.3,5.2,4.3
Strawberry Preserves,0,1.0,71,0,0.0,0.0,0.0,0.0,7.1,18.4,0.0,14.2,0.0
Strawberry Sauce,0,1.0,29,0,0.0,0.0,0.0,0.0,0.9,8.0,0.6,7.4,0.2
Vanilla Seed Butter,0,1.0,163,116,12.9,1.3,0.0,0.0,8.6,9.5,2.6,4.3,4.3
Cilantro,0,0.5,3,1,0.1,0.0,0.0,0.0,5.5,0.4,0.3,0.1,0.3
Congee,0,4.0,36,2,0.2,0.0,0.0,0.0,112.8,8.0,0.0,0.2,0.6
